time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2026-01-05T21:55:00+08:00,4412.09,4417.32,4411.3,4416.8,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3281.84,3283.5,3280.57,3283.09,3,2,1,0
2026-01-05T22:00:00+08:00,4416.89,4423.22,4416.89,4422.43,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3283.08,3287.85,3283.08,3286.69,3,2,1,0
2026-01-05T22:05:00+08:00,4422.38,4424.76,4420.68,4423.19,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3286.57,3287.81,3285.43,3286.92,3,2,1,0
2026-01-05T22:10:00+08:00,4423.34,4428.46,4423.34,4426.22,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3287.1,3289.82,3287.1,3288.16,3,2,1,0
2026-01-05T22:15:00+08:00,4426.28,4427.63,4423.46,4427.29,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3288.24,3290.37,3286.91,3290.1,3,2,1,0
2026-01-05T22:20:00+08:00,4427.26,4429.59,4421.34,4421.79,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3290.14,3290.51,3285.08,3285.36,3,2,1,0
2026-01-05T22:25:00+08:00,4421.71,4423.48,4420.09,4421.2,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3285.07,3286.97,3283.84,3284.47,3,2,1,0
2026-01-05T22:30:00+08:00,4421.19,4427.45,4417.8,4425.6,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3284.51,3288.16,3282.28,3286.6,3,2,1,0
2026-01-05T22:35:00+08:00,4425.57,4427.73,4417.89,4427.66,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3286.7,3288.67,3281.99,3288.67,3,2,1,0
2026-01-05T22:40:00+08:00,4426.87,4430.03,4421.95,4429.76,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3287.95,3290.05,3284.48,3289.95,3,2,1,0
2026-01-05T22:45:00+08:00,4429.93,4438.5,4427.98,4436.98,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3290.1,3295.24,3288.84,3294.12,3,2,1,0
2026-01-05T22:50:00+08:00,4436.8,4439.77,4432.87,4439.77,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3293.99,3295.7,3290.83,3295.7,3,2,1,0
2026-01-05T22:55:00+08:00,4440.6,4442.98,4435.08,4436.61,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3296.56,3297.95,3291.34,3293.03,3,2,1,0
